country,Image URL
"Korea, Dem. People’s Rep.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/800px-Flag_of_North_Korea.svg.png
Portugal,https://cdn.countryflags.com/thumbs/portugal/flag-400.png
Paraguay,https://cdn.countryflags.com/thumbs/paraguay/flag-400.png
French Polynesia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_French_Polynesia.svg/1280px-Flag_of_French_Polynesia.svg.png
Qatar,https://cdn.countryflags.com/thumbs/qatar/flag-400.png
Romania,https://cdn.countryflags.com/thumbs/romania/flag-400.png
Russian Federation,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg
Rwanda,https://cdn.countryflags.com/thumbs/rwanda/flag-400.png
Saudi Arabia,https://cdn.countryflags.com/thumbs/saudi-arabia/flag-400.png
Sudan,https://cdn.countryflags.com/thumbs/sudan/flag-400.png
Senegal,https://cdn.countryflags.com/thumbs/senegal/flag-400.png
Singapore,https://cdn.countryflags.com/thumbs/singapore/flag-400.png
Solomon Islands,https://flagpedia.net/data/flags/w580/sb.png
Sierra Leone,https://cdn.webshopapp.com/shops/94414/files/54942906/sierra-leone-flag-icon-free-download.jpg
El Salvador,https://cdn.countryflags.com/thumbs/el-salvador/flag-400.png
San Marino,https://cdn.countryflags.com/thumbs/san-marino/flag-800.png
Somalia,https://cdn.countryflags.com/thumbs/somalia/flag-400.png
Serbia,https://cdn.countryflags.com/thumbs/serbia/flag-400.png
South Sudan,https://cdn.countryflags.com/thumbs/south-sudan/flag-400.png
Sao Tome and Principe,https://cdn.countryflags.com/thumbs/sao-tome-and-principe/flag-800.png
Suriname,https://cdn.countryflags.com/thumbs/suriname/flag-400.png
Slovak Republic,https://cdn.countryflags.com/thumbs/slovakia/flag-800.png
Slovenia,https://cdn.countryflags.com/thumbs/slovenia/flag-400.png
Sweden,https://cdn.countryflags.com/thumbs/sweden/flag-400.png
Eswatini,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Eswatini.svg/800px-Flag_of_Eswatini.svg.png
Seychelles,https://cdn.countryflags.com/thumbs/seychelles/flag-400.png
Syrian Arab Republic,https://flagpedia.net/data/flags/w580/sy.png
Turks and Caicos Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg/2000px-Flag_of_the_Turks_and_Caicos_Islands.svg.png
Chad,https://cdn.countryflags.com/thumbs/chad/flag-400.png
Togo,https://cdn.countryflags.com/thumbs/togo/flag-400.png
Thailand,https://cdn.countryflags.com/thumbs/thailand/flag-400.png
Tajikistan,https://cdn.countryflags.com/thumbs/tajikistan/flag-400.png
Turkmenistan,https://cdn.countryflags.com/thumbs/turkmenistan/flag-400.png
Timor-Leste,https://cdn.countryflags.com/thumbs/east-timor/flag-400.png
Tonga,https://cdn.countryflags.com/thumbs/tonga/flag-400.png
Trinidad and Tobago,https://cdn.countryflags.com/thumbs/trinidad-and-tobago/flag-400.png
Tunisia,https://cdn.countryflags.com/thumbs/tunisia/flag-400.png
Turkey,https://cdn.countryflags.com/thumbs/turkey/flag-400.png
Tuvalu,https://cdn.countryflags.com/thumbs/tuvalu/flag-400.png
Tanzania,https://cdn.countryflags.com/thumbs/tanzania/flag-400.png
Uganda,https://cdn.countryflags.com/thumbs/uganda/flag-400.png
Ukraine,https://cdn.countryflags.com/thumbs/ukraine/flag-400.png
Uruguay,https://cdn.countryflags.com/thumbs/uruguay/flag-400.png
United States,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
Uzbekistan,https://cdn.countryflags.com/thumbs/uzbekistan/flag-400.png
St. Vincent and the Grenadines,https://cdn.countryflags.com/thumbs/saint-vincent-and-the-grenadines/flag-400.png
"Venezuela, RB",https://www.globalmoneyweek.org/images/flags/VenezuelaRB_flag.png
British Virgin Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_British_Virgin_Islands.svg/320px-Flag_of_the_British_Virgin_Islands.svg.png
Virgin Islands (U.S.),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_the_United_States_Virgin_Islands.svg/800px-Flag_of_the_United_States_Virgin_Islands.svg.png
Vietnam,https://cdn.countryflags.com/thumbs/vietnam/flag-400.png
Vanuatu,https://upload.wikimedia.org/wikipedia/commons/0/06/Vanuatu_flag_300.png
Samoa,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg
Kosovo,https://cdn.countryflags.com/thumbs/kosovo/flag-400.png
"Yemen, Rep.",https://flagpedia.net/data/flags/w580/ye.png
South Africa,https://cdn.countryflags.com/thumbs/south-africa/flag-400.png
Zambia,https://cdn.countryflags.com/thumbs/zambia/flag-400.png
Zimbabwe,https://cdn.countryflags.com/thumbs/zimbabwe/flag-400.png
